variable,label,unique_values,variable_type
m3c11,INT CHK: ARE MOTHER AND FATHER MARRIED AND LIVING TOGETHER?,4,categorical
m3c12,INT CHK: DID MOTHER AND FATHER HAVE A CHILD SUPPORT ORDER AT LAST INT?,4,categorical
m3c12a,Have there been changes to legal agreement or child support to child?,6,categorical
m3c13,Have legal agreement/child support order for father to support child?,6,categorical
m3c13a1,When was the legal agreement first reached (month)?,1,categorical
m3c13a2,When was the legal agreement first reached (year)?,10,continuous
m3c14,INT CHK: DOES MOTHER HAVE ANY OTHER CHILDREN BY FATHER?,4,categorical
m3c14a,Is your legal agreement just for child or for other children as well?,5,categorical
m3c15,Have there been changes to original agreement since it was reached?,6,categorical
m3c15a_1,Why agreement changed: include another child?,7,categorical
m3c15a_2,Why agreement changed: change in father's economic circumstances?,7,categorical
m3c15a_3,Why agreement changed: change in mother's economic circumstances?,7,categorical
m3c15a_4,Why agreement changed: other?,12,unknown
m3c15b1,When was the original agreement changed? (month),1,categorical
m3c15b2,When was the original agreement changed? (year),9,continuous
m3c16,How much are the payments supposed to be per month?,649,continuous
m3c16p,Per what time period is this amount paid?,6,categorical
m3c17,INT CHK: DO MOTHER AND FATHER LIVE TOGETHER?,4,categorical
m3c18,Where are payments supposed to come from?,9,categorical
m3c19,How often does father pay on time?,9,categorical
m3c20,How much of legally agreed child support has father paid?,378,continuous
m3c20a,Could you give me a range of money paid by father?,11,categorical
m3c20b,18C ONLY: Has father given money/support (instead of/in addition) child support?,6,categorical
m3c20c,18C ONLY: How much has father paid (excluding formal child support)?,182,categorical
m3c20d,18C ONLY: Could you give me a range of payment (excluding formal child support)?,12,categorical
m3c21,Does father owe arrears in child support he is supposed to pay?,6,categorical
m3c21a,What is the amount of the arrears?,223,continuous
m3c21b,Could you give me a range for the amount of arrears?,11,categorical
m3c21c,Welfare office/court/judge tried to get father to pay child support owed?,5,categorical
m3c21d_1,What action taken: seized father's income tax refund?,6,categorical
m3c21d_2,NA,6,categorical
m3c21d_3,What action taken: suspended father's driver's license?,6,categorical
m3c21d_4,What action taken: seized father's liquid assets?,5,categorical
m3c21d_5,What action taken: put a lien on fathers personal property?,6,categorical
m3c21d_6,What action taken: suspended professional/business license?,5,categorical
m3c21d_7,What action taken: sent father to prison or jail?,6,categorical
m3c21d_8,What action taken: put father on probation?,6,categorical
m3c21d_9,What action taken: other?,9,categorical
m3c22,INT CHK: DO MOTHER AND FATHER LIVE TOGETHER?,4,categorical
m3c22a,Does child support agreement specify visits btw father and child?,6,categorical
m3c22b,How many days per month is child supposed to spend with father?,23,categorical
m3c23,Have informal agreement with father for financial support of child?,6,categorical
m3c24,How much has he agreed to give you each month? (amount),304,continuous
m3c24p,Per what time period?,7,categorical
m3c25,How often does father give you this money when he is supposed to?,9,categorical
m3c26,About how much in child support have you received since agreement?,204,continuous
m3c26a,Could you give me a range for the amount you have received?,12,categorical
m3c27,INT CHK: ARE MOTHER AND FATHER CURRENTLY MARRIED?,4,categorical
m3c28,INT CHK: DOES MOTHER HAVE A FORMAL OR INFORMAL AGREEMENT WITH FATHER?,4,categorical
m3c29,Has father paid anything toward child(ren)'s support in past 12 months?,6,categorical
m3c29a,How much has father given for child(ren)'s support in past 12 months?,166,continuous
m3c29b,Could you give me a range for the support father gave?,12,categorical
m3c29c,INT CHK: DO MOTHER AND FATHER LIVE TOGETHER ALL OR MOST OF TIME?,4,categorical
m3c30a,How often father buys: clothes for child?,8,categorical
m3c30b,How often father buys: toys for child?,8,categorical
m3c30c,How often father buys: medicine for child?,8,categorical
m3c30d,How often father buys: food for child?,8,categorical
m3c30e,How often father buys: anything else for child?,8,categorical
m3c31,INT CHK: DOES MOTHER HAVE ANY CHILDREN BY SOMEONE OTHER THAN FATHER?,4,categorical
m3c32,Do you receive any child support for child(ren) with someone else?,6,categorical
m3c33,How much did you receive in the past 12 months?,322,continuous
m3c33a,Could you give me a range for amount you received in past 12 months?,11,categorical
m3c34,Does father have any other children by someone else?,6,categorical
m3c35,How many other children does father have?,18,continuous
m3c36,Does father have legal obligation to pay child support for other children?,6,categorical
m3c36a,Does he pay child support for this/these child(ren)?,6,categorical
m3c36b,How much does he pay each month? ($),343,continuous
m3c36bp,Per what time period?,6,categorical
m3c36c,Could you give me a range of money father pays each month?,9,categorical
m3c36d,INT CHK: DOES FATHER HAVE MORE THAN ONE CHILD BY SOMEONE ELSE?,4,categorical
m3c36e,How many women does father pay child support to?,9,continuous
m3c37,INT CHK: DOES FATHER HAVE A LEGAL OBLIGATION TO PAY SUPPORT FOR OTHER CHILDREN?,5,categorical
m3c38,Does father have any arrears in the child support for other children?,5,categorical
m3c38a,What is the amount of the arrears? ($),89,continuous
m3c38b,Could you give me a range?,11,categorical
m3c38c,Any action taken by welfare office/court/judge to get him to pay?,5,categorical
m3c38d_1,What action taken: garnished father's wages?,5,categorical
m3c38d_2,What action taken: seized father's income tax refund?,5,categorical
m3c38d_3,What action taken: suspended father's driver's license?,5,categorical
m3c38d_4,What action taken: seized father's liquid assets?,5,categorical
m3c38d_5,What action taken: put lien on father's personal property?,4,categorical
m3c38d_6,What action taken: suspended professional/business license?,4,categorical
m3c38d_7,What action taken: sent father to prison or jail?,5,categorical
m3c38d_8,What action taken: put father on probation?,5,categorical
m3c38d_9,What action taken: other?,7,unknown
m3c39,INT CHK: IS FATHER LIVING WITH MOTHER?,4,categorical
m3c39a,Is father living with or married to another woman?,6,categorical
m3c41,"Is father currently working, in school, or unemployed?",17,categorical
m3c41a,INT CHK: DID MOTHER REPORT AT ONE-YEAR FATHER HAD EVER BEEN IN JAIL?,4,categorical
m3c42,Has father ever spent any time in jail or prison?,6,categorical
m3c42a_1,Why is/was father in jail: assault?,1,categorical
m3c42a_2,Why is/was father in jail: robbery or theft?,1,categorical
m3c42a_3,Why is/was father in jail: possession/use/sale of drugs?,1,categorical
m3c42a_4,Why is/was father in jail: major traffic offense?,1,categorical
m3c42a_5,Why is/was father in jail: non-payment of child support?,1,categorical
m3c42a_6,Why is/was father in jail: parole or probation violation?,1,categorical
m3c42a_7,18C ONLY: Why is/was father in jail: simple assault?,1,categorical
m3c42a_8,Why is/was father in jail: other?,1,categorical
m3c42b,INT CHK: IS FATHER CURRENTLY IN JAIL?,4,categorical
m3c42c1,Approximately how long was father in jail? (years),1,continuous
m3c42c2,Approximately how long was father in jail? (months),1,continuous
m3c42c3,Approximately how long was father in jail? (weeks),1,continuous
m3c42c4,Approximately how long was father in jail? (days),1,continuous
m3c42d2,When did father go to jail/prison? (year),1,continuous
m3c42e2,When will father be released from jail/prison? (year),1,continuous
m3c43,Does father have physical/mental condition limits work he can do?,6,categorical
m3c44,Does father have problems with job/family/friends because of alcohol/drug use?,6,categorical
cm3finjail,"Constructed - mother report, father in jail at her 3yr interview",2,unknown
cm3fevjail,"Constructed - mother report, father has spent time in jail by her 3yr interview",2,unknown
m3d0,"INT CHK: WERE PARENTS IN ANY KIND OF RELATIONSHIP AT BASELINE, ONE-YEAR, OR NOW?",4,categorical
m3d1,INT CHK: DOES FATHER HAVE ANY CONTACT WITH CHILD?,4,categorical
m3d1a,Always/sometimes/rarely true: Father acts like the father you want?,8,categorical
m3d1b,Always/sometimes/rarely true: can trust father to take care of child?,8,categorical
m3d1c,Always/sometimes/rarely true: Father respects schedules/rules you make?,8,categorical
m3d1d,Always/sometimes/rarely true: Father supports way you want to raise child?,8,categorical
m3d1e,Always/sometimes/rarely true: talk about problems raising child?,8,categorical
m3d1f,Always/sometimes/rarely true: count on father to look after child for few hours?,8,categorical
m3d2,How much would you trust father to care for child for one week?,7,categorical
m3d3,Could you trust anyone else to look after child?,5,categorical
m3d3a_1,Who could you trust with child: child's maternal grandparent?,4,categorical
m3d3a_2,Who could you trust with child: other relative on mother's side?,4,categorical
m3d3a_3,Who could you trust with child: child's paternal grandparent?,4,categorical
m3d3a_4,Who could you trust with child: other relative on father's side?,4,categorical
m3d3a_5,Who could you trust with child: child's sibling?,4,categorical
m3d3a_6,Who could you trust with child: friend?,4,categorical
m3d3a_7,Who could you trust with child: other?,8,categorical
m3d4,How good is your relationship with father?,9,categorical
m3d4a,Have you ever been in program/counseling to help relationship with father?,6,categorical
m3d4b,"If program/counseling were available for free, how interested would you be?",7,categorical
m3d5,How often do you and father argue?,8,categorical
m3d6,INT CHK: ARE MOTHER AND FATHER CURRENTLY MARRIED OR ROMANTICALLY INVOLVED?,4,categorical
m3d7a,Often/sometimes/never: Father is fair and willing to compromise?,1,categorical
m3d7b,Often/sometimes/never: he expresses affection or love for you?,1,categorical
m3d7c,Often/sometimes/never: he insults or criticizes you or your ideas?,1,categorical
m3d7d,Often/sometimes/never: he encourages/helps you do things important to you?,1,categorical
m3d7e,Often/sometimes/never: he tries to keep you from seeing friends or family?,1,categorical
m3d7f,Often/sometimes/never: he tries to prevent you from going to work or school?,1,categorical
m3d7g,"Often/sometimes/never: he withholds money, makes you ask for it, takes it?",1,categorical
m3d7h,Often/sometimes/never: he slaps or kicks you?,1,categorical
m3d7i,Often/sometimes/never: he hits you with fist or an object that can hurt you?,1,categorical
m3d7j,Often/sometimes/never: he tries to make you have sex or do sexual things?,1,categorical
m3d7k,Often/sometimes/never: he listens when you need someone to talk to?,1,categorical
m3d7l,Often/sometimes/never: he really understands your hurts and your joys?,1,categorical
m3d7m,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,1,categorical
m3d7n,Has father ever slapped or kicked you in front of child?,1,categorical
m3d7n1,Has father ever slapped or kicked you while child was in the house?,1,categorical
m3d7o,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,1,categorical
m3d7p,Has father ever hit with fist/object that could hurt in front of child?,1,categorical
m3d7p1,Has father ever hit you with fist/object while child was in the house?,1,categorical
m3d7q,INT CHK: DID MOTHER REPORT NO VIOLENCE?,1,categorical
m3d8,"INT CHK: WERE PARENTS MARRIED OR ROMANTIC AT BASELINE OR ONE-YEAR, BUT NOT NOW?",4,categorical
m3d9a,In last month of rel: was father willing to compromise?,1,categorical
m3d9b,In last month of rel: did father expresse affection or love for you?,1,categorical
m3d9c,In last month of rel: did father insult or criticize you?,1,categorical
m3d9d,In last month of rel: did father encourage/help you do things imp. to you?,1,categorical
m3d9e,In last month of rel: did father try to keep you from seeing friends/family?,1,categorical
m3d9f,In last month of rel: did father try to prevent you from going to work/school?,1,categorical
m3d9g,In last month of rel: did father withhold/make you ask/take money?,1,categorical
m3d9h,In last month of rel: did father slap/kick you?,1,categorical
m3d9i,In last month of rel: did father hit with fist/object that could hurt you?,1,categorical
m3d9j,In last month of rel: did father try to make you have sex/do sexual things?,1,categorical
m3d9k,In last month of rel: did father listen when you needed someone to talk to?,1,categorical
m3d9l,In last month of rel: did father understand your hurts and joys?,1,categorical
m3d9m,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,1,categorical
m3d9n,Has father ever slapped or kicked you in front of child?,1,categorical
m3d9n1,Has father ever slapped or kicked you while child was in the house?,1,categorical
m3d9o,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,1,categorical
m3d9p,Has father ever hit with fist/object that could hurt in front of child?,1,categorical
m3d9p1,Has father ever hit you with fist/object while child was in the house?,1,categorical
m3d9q,INT CHK: DID MOTHER REPORT NO VIOLENCE FROM FATHER?,1,categorical
m3d10,"Since child's 1st birthday, have you been seriously hurt in fight w/father?",1,categorical
m3d10a,Did you go to the hospital for any of these injuries?,1,categorical
m3d10b,Did you report the incident to the police?,1,categorical
m3d10c,Did you tell anyone else about this such as friend/minister/social worker?,1,categorical
m3d10d,Did father hurt you in front of child?,1,categorical
m3e1,"INT CHK: ARE MOTHER AND FATHER LIVING TOGETHER ALL, MOST, OR SOME OF TIME?",3,categorical
m3e2,Currently involved in a relationship with someone other than father?,6,categorical
m3e2a1,INT CHK: ARE MOTHER AND FATHER MARRIED?,4,categorical
m3e2b,Are you married to current partner?,4,categorical
m3e2c1,When did you and CP get married? (month),1,categorical
m3e2c2,When did you and CP get married? (year),8,continuous
m3e2d,Do you and CP live together most of the time?,4,categorical
m3e2e1,When did you and CP start living together? (month),1,categorical
m3e2e2,When did you and CP start living together? (year),12,continuous
m3e2f1,How long have you and CP been romantically involved (years)?,15,continuous
m3e2f2,How long have you and CP been romantically involved (months)?,19,continuous
m3e3,How old is CP?,38,continuous
m3e5,Which best describes CP's race?,10,categorical
m3e5a,Is CP of Hispanic or Latino descent?,6,categorical
m3e5b,"Is CP Mexican, Puerto Rican, Cuban, or Other Hispanic?",7,categorical
m3e6,What is the highest grade of school/highest degree CP completed?,14,categorical
m3e6a,What year of high school did CP complete?,7,continuous
m3e7,What was CP doing most of last week?,13,categorical
m3e7a1,When did CP last have job lasting two consecutive weeks or more (month)?,1,categorical
m3e7a2,When did CP last have paid job lasting two consecutive weeks or more (year)?,9,continuous
m3e8,Does CP do activities other than regular job for money or necessities?,6,categorical
m3e9,Does CP have physical/mental health problems that limit kind/amount of work?,6,categorical
m3e10,Does CP have problems such as keeping a job or friends due to alcohol/drugs?,5,categorical
m3e11,Does CP have any biological children?,6,categorical
m3e11a,How many biological children does CP have?,10,continuous
m3e12,INT CHK: DO MOTHER AND CP LIVE TOGETHER?,4,categorical
m3e13,Does this child/do any of these children live with you?,4,categorical
m3e14,INT CHK: DOES MOTHER HAVE CHILDREN WITH SOMEONE OTHER THAN FATHER?,4,categorical
m3e15,Are you the biological mother to this child/any of these children?,5,categorical
m3e16,INT CHK: DO MOTHER AND CP LIVE TOGETHER?,4,categorical
m3e17,INT CHK: DOES CHILD LIVE AWAY FROM MOTHER?,4,categorical
m3e18a,Days/week: CP sings songs or nursery rhymes to child?,11,categorical
m3e18b,Days/week: CP hugs or shows physical affection to child?,11,categorical
m3e18c,Days/week: CP tells child she loves him/her?,11,categorical
m3e18d,Days/week: CP lets child help her with household chores?,11,categorical
m3e18e,Days/week: CP plays imaginary games with child?,11,categorical
m3e18f,Days/week: CP reads stories to child?,11,categorical
m3e18g,Days/week: CP tells stories to child?,11,categorical
m3e18h,Days/week: CP plays inside with toys with child?,11,categorical
m3e18i,Days/week: CP tells child he/she appreciated what they did?,11,categorical
m3e18j,Days/week: CP takes child to visit relatives?,11,categorical
m3e18k,Days/week: CP goes to restaurant/out to eat with child?,11,categorical
m3e18l,Days/week: CP assists child with eating?,11,categorical
m3e18m,Days/week: CP puts child to bed?,11,categorical
m3e19,"In past month, has CP spanked child for misbehaving?",5,categorical
m3e19a,How often did CP spank child?,5,categorical
m3e20a,Often/sometimes/rarely/never: CP looks after child when you need to do things?,7,categorical
m3e20b,Often/sometimes/rarely/never: CP runs errands for you?,7,categorical
m3e20c,Often/sometimes/rarely/never: CP fixes things around the house?,7,categorical
m3e20d,Often/sometimes/rarely/never: CP takes child places like doctor or daycare?,7,categorical
m3e21a,Often/sometimes/rarely/never: CP acts like kind of parent you want for child?,6,categorical
m3e21b,Often/sometimes/rarely/never: you can trust CP to take good care of child?,6,categorical
m3e21c,Often/sometimes/rarely/never: CP respects schedules and rules you set for child?,6,categorical
m3e21d,Often/sometimes/rarely/never: CP supports the way you want to raise child?,6,categorical
m3e21e,Often/sometimes/rarely/never: you and CP talk about problems raising child?,6,categorical
m3e21f,Often/sometimes/rarely/never: can count on CP to look after child for few hours?,6,categorical
m3e22,How much would you trust CP to take care of child for 1 week?,6,categorical
m3e23a,Often/sometimes/never: CP is fair and willing to compromise?,6,categorical
m3e23b,Often/sometimes/never: CP expresses affection or love for you?,5,categorical
m3e23c,Often/sometimes/never: CP insults or criticizes you?,5,categorical
m3e23d,Often/sometimes/never: CP encourages/helps you to do things?,5,categorical
m3e23e,Often/sometimes/never: CP tries to keep you from seeing family/friends?,5,categorical
m3e23f,Often/sometimes/never: CP tries to prevent you from going to work/school?,6,categorical
m3e23g,Often/sometimes/never: CP withholds/make you ask/takes money?,5,categorical
m3e23h,Often/sometimes/never: CP slaps or kicks you?,6,categorical
m3e23i,Often/sometimes/never: CP hits you with fist/ object that could hurt?,5,categorical
m3e23j,Often/sometimes/never: CP tries to make you have sex/do sexual things?,5,categorical
m3e23k,Often/sometimes/never: CP listens to you when you need someone to talk to?,5,categorical
m3e23l,Often/sometimes/never: CP really understands your hurts and joys?,5,categorical
m3e23m,Have you ever participated in a program/counseling to help rel. with CP?,4,categorical
m3e23n,"If counseling were available for free, would you be interested?",6,categorical
m3e23o,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY CP?,1,categorical
m3e23p,Has CP ever slapped or kicked you in front of child?,1,categorical
m3e23p1,Has CP ever slapped or kicked you while child was in house?,1,categorical
m3e23q,INT CHK: HAS MOTHER EVER BEEN HIT BY CP?,1,categorical
m3e23r,Has CP ever hit you with a fist or object in front of child?,1,categorical
m3e23r1,Has CP ever hit you while child was in the house?,1,categorical
m3e23s,INT CHK: DID MOTHER REPORT NO VIOLENCE FROM CP?,1,categorical
m3e24,"Since child's 1st birthday, were you cut, bruised, or seriously hurt by CP?",1,categorical
m3e24a,Did you go to the hospital for these injuries?,1,categorical
m3e24b,Did you report the incident to the police?,1,categorical
m3e24c,"Did you tell anyone else about this, such as friend, minister, or other?",1,categorical
m3e24d,Did CP ever hurt you in front of child?,1,categorical
m3e25,Has CP spent any time in jail or prison?,5,categorical
cm3marp,Constructed - Mother married to new partner at year three,3,categorical
cm3cohp,Constructed - Mother living with (not married) new partner at year three,3,categorical
m3f1,"Not including self, how many people currently live with you?",18,categorical
m3f2b1,Is first person male or female?,6,categorical
m3f2b2,Is second person male or female?,6,categorical
m3f2b3,Is third person male or female?,6,categorical
m3f2b4,Is fourth person male or female?,4,categorical
m3f2b5,Is fifth person male or female?,4,categorical
m3f2b6,Is sixth person male or female?,4,categorical
m3f2b7,Is seventh person male or female?,4,categorical
m3f2b8,Is eighth person male or female?,4,categorical
m3f2b9,Is ninth person male or female?,4,categorical
m3f2b10,Is tenth person male or female?,4,categorical
m3f2c1,What is first person's age? (years),94,continuous
m3f2c2,What is second person's age? (years),84,continuous
m3f2c3,What is third person's age? (years),72,continuous
m3f2c4,What is fourth person's age? (years),51,continuous
m3f2c5,What is fifth person's age? (years),47,continuous
m3f2c6,What is sixth person's age? (years),36,continuous
m3f2c7,What is seventh person's age? (years),30,continuous
m3f2c8,What is eighth person's age? (years),22,continuous
m3f2c9,What is ninth person's age? (years),15,continuous
m3f2c10,What is tenth person's age? (years),11,continuous
m3f2d1,What is first person's relationship to you?,19,categorical
m3f2d2,What is second person's relationship to you?,19,categorical
m3f2d3,What is third person's relationship to you?,19,categorical
m3f2d4,What is fourth person's relationship to you?,19,categorical
m3f2d5,What is fifth person's relationship to you?,18,categorical
m3f2d6,What is sixth person's relationship to you?,15,categorical
m3f2d7,What is seventh person's relationship to you?,14,categorical
m3f2d8,What is eighth person's relationship to you?,13,categorical
m3f2d9,What is ninth person's relationship to you?,9,categorical
m3f2d10,What is tenth person's relationship to you?,8,categorical
m3f2e1,"If person is child, is (father) the father of this child?",6,categorical
m3f2e2,"If person is child, is (father) the father of this child?",6,categorical
m3f2e3,"If person is child, is (father) the father of this child?",6,categorical
m3f2e4,"If person is child, is (father) the father of this child?",6,categorical
m3f2e5,"If person is child, is (father) the father of this child?",5,categorical
m3f2e6,"If person is child, is (father) the father of this child?",4,categorical
m3f2e7,"If person is child, is (father) the father of this child?",4,categorical
m3f2e8,"If person is child, is (father) the father of this child?",4,categorical
m3f2e9,"If person is child, is (father) the father of this child?",4,categorical
m3f2e10,"If person is child, is (father) the father of this child?",4,categorical
m3f2f1,Is first person currently working?,6,categorical
m3f2f2,Is second person currently working?,5,categorical
m3f2f3,Is third person currently working?,5,categorical
m3f2f4,Is fourth person currently working?,4,categorical
m3f2f5,Is fifth person currently working?,4,categorical
m3f2f6,Is sixth person currently working?,4,categorical
m3f2f7,Is seventh person currently working?,4,categorical
m3f2f8,Is eighth person currently working?,4,categorical
m3f2f9,Is ninth person currently working?,4,categorical
m3f2f10,Is tenth person currently working?,3,categorical
m3f2f14,Is fourteenth person currently working?,2,categorical
m3f2f15,Is fifteenth person currently working?,2,categorical
m3f3,Do you have any other biological children who are not living with you now?,5,categorical
m3f3a,How many other living children do you have who don't live with you?,12,continuous
m3f3b1,How old are/is those/that other child(ren)? (years),35,continuous
m3f3b2,How old are/is those/that other child(ren)? (years),30,continuous
m3f3b3,How old are/is those/that other child(ren)? (years),25,continuous
m3f3b4,How old are/is those/that other child(ren)? (years),17,continuous
m3f3b5,How old are/is those/that other child(ren)? (years),12,continuous
m3f3b6,How old are/is those/that other child(ren)? (years),9,continuous
m3f3b7,How old are/is those/that other child(ren)? (years),7,continuous
m3f3b8,How old are/is those/that other child(ren)? (years),6,continuous
m3f3b9,How old are/is those/that other child(ren)? (years),5,continuous
m3f3b10,How old are/is those/that other child(ren)? (years),4,continuous
cm3adult,Constructed - Number of adults 18 or over in household,11,continuous
cm3kids,Constructed - Number of children under 18 in household,13,continuous
cm3gdad,Constructed - Grandfather present in household,4,categorical
cm3gmom,Constructed - Grandmother present in household,4,categorical
m3h1,INT CHK: WAS MOTHER INTERVIEWED AT ONE-YEAR?,3,categorical
m3h1a,In what country or territory was your father born?,9,categorical
m3h1b,In what country or territory was your mother born?,8,categorical
m3h1c,INT CHK: WERE BOTH PARENTS BORN IN THE UNITED STATES?,5,categorical
m3h1d,Are you a United States citizen?,5,categorical
m3h1e,Highest grade of school your biological mother completed?,14,categorical
m3h1e1,What year of high school did she complete?,7,continuous
m3h1f,What is the highest grade of school your biological father completed?,13,categorical
m3h1f1,What year of high school did he complete?,7,continuous
m3h2,Have you received financial help from anyone other than father?,4,categorical
m3h2a_1,Who gave help: respondent's parents?,6,categorical
m3h2a_2,Who gave help: other relatives of mother?,6,categorical
m3h2a_3,Who gave help: father's parents?,6,categorical
m3h2a_4,Who gave help: other relatives of father?,6,categorical
m3h2a_5,Who gave help: friend(s)?,6,categorical
m3h2a_6,Who gave help: boyfriend/partner?,6,categorical
m3h2a_7,Who gave help: partner's family?,6,categorical
m3h2a_8,Who gave help: other?,7,categorical
m3h2b,About how much financial help were you given in past 12 months?,791,continuous
m3h2c,Could you give me a range of the financial help you received?,12,categorical
m3h3,"If you needed help in next year, could you count on someone to loan $200?",5,categorical
m3h3a,"What about $1,000?",5,categorical
m3h4,Is there someone you could count on to provide you with a place to live?,5,categorical
m3h5,Is there someone you could count on to provide you with emergency child care?,5,categorical
m3h6,"Is there someone to co-sign for a bank loan with you for $1,000?",5,categorical
m3h6a,"What about co-signing for $5,000?",5,categorical
m3h7,How often does child see your parents?,7,categorical
m3h8,How often does child see father's parents?,8,categorical
m3i0a,"In past year, have you participated in: group affiliated with your church?",5,categorical
m3i0b,"In past year, have you participated in: a service club?",5,categorical
m3i0c,"In past year, have you participated in: political, civic, or human rights group?",5,categorical
m3i0d,"In past year, have you participated in: labor union or work-related group?",5,categorical
m3i0e,"In past year, have you participated in: community organization?",5,categorical
m3i0f,"In past year, have you participated in: group working with children?",5,categorical
m3i0g,Have you ever participated in a political demonstration?,5,categorical
m3i0h,In past year have you taken part in a political demonstration?,5,categorical
m3i0i,Are you registered to vote?,5,categorical
m3i0j,Are you eligible to vote?,6,categorical
m3i0k,Did you vote in the November 2000 election?,5,categorical
m3i0l,How important is it: to vote in elections?,6,categorical
m3i0m,How important is it: to volunteer time to community service?,6,categorical
m3i0n,How important is it: to serve on a jury if called?,6,categorical
m3i0o,How important is it: to report a crime that they witnessed?,6,categorical
m3i0p,How important is it: to be able to speak and understand English?,6,categorical
m3i0q,How important is it: to serve in the military when at war?,6,categorical
m3i1,Have you moved since your child's first birthday?,4,categorical
m3i1a,How many times have you moved since child's first birthday?,11,continuous
m3i2,What is your current housing situation?,14,categorical
m3i3,Approximately how much could you/they sell home for?,742,continuous
m3i3a,Approximately how much do you/they owe on house?,655,continuous
m3i3b,What are the monthly mortgage payments?,734,continuous
m3i3b1,18C ONLY: Whose name is on the mortgage?,1,categorical
m3i3c,Does respondent live in house/condo owned by another family member?,4,categorical
m3i4,How much rent do you pay each month?,2426,continuous
m3i4a,18C ONLY: Whose name is on the lease for this domicile?,13,categorical
m3i4b,18C ONLY: Required to report your income/assets to landlord annually?,6,categorical
m3i5,Is this home in a public housing project?,5,categorical
m3i5a,"Does respondent live with family/friends, but pays no rent?",4,categorical
m3i6,Is the federal/state/local government helping you pay your rent?,6,categorical
m3i6a,"In past year, was telephone service ever disconnected?",5,categorical
m3i6b,How many days in past year did you go without phone service?,58,continuous
m3i6c,"In past year, was your electricity ever turned off?",5,categorical
m3i6d,How many days in past year were you without electricity?,20,continuous
m3i6e,"Do you use gas or oil to heat your home, or gas for cooking?",5,categorical
m3i6f,"In past year, was service ever turned off by the gas/oil company?",5,categorical
m3i6g,How many days in past year were you without gas or oil?,21,continuous
m3i6h,"In past year, has your home been uncomfortably cold for 48 hrs/more?",5,categorical
m3i6i1,Was home uncomfortably cold: service was shut off?,5,categorical
m3i6i2,Was home uncomfortbaly cold: inadequate heating capacity?,5,categorical
m3i6i3,Was home uncomfortably cold: equipment breakdown?,5,categorical
m3i6i4,Was home uncomfortably cold: super/landlord keeps heat too low?,6,categorical
m3i6i5,Was home uncomfortably cold: too expensive to heat house?,5,categorical
m3i6j,"In past year, did you ever have no running water for 48 hrs/more?",5,categorical
m3i7a,Since child's first birthday: helped by agency to collect child support?,5,categorical
m3i7b,Since child's first birthday: helped by a parenting class?,5,categorical
m3i7c,Since child's first birthday: helped by Head Start or Early HS?,5,categorical
m3i7d,Since child's first birthday: helped by child care referral agency?,5,categorical
m3i7e,Since child's first birthday: helped by WIC?,5,categorical
m3i7f,Since child's first birthday: helped by employment office?,5,categorical
m3i7g,Since child's first birthday: helped by welfare/job placement office?,5,categorical
m3i7i,Did respondent receive help from a parenting class?,3,categorical
m3i7j,"If a parenting class available for free, how interested would you be?",7,categorical
m3i8a1,"In past year, received help from welfare or TANF?",5,categorical
m3i8a2,"In the past year, received help from Food Stamps?",5,categorical
m3i8a3,"In past year, have you received any other assistance?",5,categorical
m3i8b1,How many months did you receive welfare/TANF in the past year?,16,continuous
m3i8b2,How many months did you receive Food Stamps in the past 12 months?,16,continuous
m3i8b3,How many months did you receive other help in the past year?,15,continuous
m3i8c1,How much did you receive the last month you received welfare/TANF?,765,continuous
m3i8c2,How much did you receive the last month you received Food Stamps?,1400,continuous
m3i8c3,How much did you receive the last month you received other help?,221,continuous
m3i9,INT CHK: DID MOTHER RECEIVE TANF OR WELFARE IN PAST YEAR?,3,categorical
m3i10,Are you currently receiving welfare or TANF?,6,categorical
m3i11a,For how long have you been receiving welfare? (years),19,continuous
m3i11b,For how long have you been receiving welfare? (months),1,continuous
m3i12,Have you ever received welfare or TANF?,6,categorical
m3i13a,When did you last receive welfare or TANF? (month),1,categorical
m3i13b,When did you last receive welfare or TANF? (year),22,categorical
m3i14,Do you or child receive Supplemental Security Income (SSI)?,5,categorical
m3i14a,Who receives SSI?,6,categorical
m3i14b,How many months did you/child/other receive help from SSI in past year?,15,continuous
m3i14c,Approximately how much did you/child/other receive each month?,156,continuous
m3i15,Was respondent on welfare/TANF in last year?,3,categorical
m3i16,Were you required to do anything in return for welfare benefits?,6,categorical
m3i16a_1,Required to: look for a job?,4,categorical
m3i16a_2,Required to: work in a paid job?,4,categorical
m3i16a_3,Required to: work in an unpaid job?,4,categorical
m3i16a_4,Required to: attend school/training?,4,categorical
m3i16a_5,Required to: name father of child?,4,categorical
m3i16a_6,Required to: other?,4,categorical
m3i17,Were benefits reduced in past year because of not fulfilling requirements?,5,categorical
m3i18,"In past year, did you think you were eligible for welfare at any time?",6,categorical
m3i18a,Did you apply for welfare in past year?,5,categorical
m3i18b,What happened with the application?,6,categorical
m3i19,Has respondent received food stamps in past year?,3,categorical
